,Count,YYYYMM,DAY
,1150,201907,4
,1150,202001,20
,1149,201903,23
,1149,201912,11
,1147,201909,4
,1147,201909,5
,1147,201911,4
,1146,201905,12
,1146,201909,6
,1146,201912,8
,1146,202001,31
,1145,201901,23
,1145,201903,2
,1145,201911,20
,1145,201911,24
,1145,202002,3
,1144,202001,27
,1144,201905,4
,1142,201902,23
,1142,202001,23
,1141,202001,26
,1140,201911,3
,1139,201901,15
,1139,201904,3
,1139,201911,11
,1139,202002,19
,1139,201905,18
,1138,202002,6
,1137,201909,3
,1137,201911,13
,1137,202002,10
,1137,202002,12
,1136,201901,21
,1135,201902,13
,1135,201904,19
,1135,202001,15
,1134,201904,20
,1134,202002,18
,1133,201902,6
,1133,202001,12
,1133,201909,14
,1132,201905,29
,1132,201911,26
,1132,201909,21
,1131,201901,27
,1131,201904,15
,1131,201912,10
,1128,201907,5
,1127,202003,3
,1127,201909,28
,1126,201902,10
,1126,201903,3
,1125,201911,10
,1124,202003,16
,1123,201911,12
,1123,202002,7
,1122,201904,26
,1122,201909,2
,1122,201909,1
,1121,202002,22
,1120,202002,25
,1119,202003,7
,1118,201904,27
,1118,202003,10
,1117,201901,29
,1115,201911,17
,1115,201905,26
,1115,201910,12
,1115,202003,14
,1111,201902,17
,1110,201911,19
,1110,201910,19
,1109,201911,25
,1109,202001,22
,1109,201905,11
,1109,202002,29
,1108,201911,6
,1107,202002,9
,1106,201902,5
,1105,201910,27
,1105,201910,5
,1103,201901,22
,1101,201901,24
,1101,201905,25
,1101,201911,23
,1100,202001,21
,1099,202001,14
,1099,202002,5
,1094,201902,16
,1094,202002,11
,1094,202001,11
,1091,201910,28
,1091,202001,29
,1086,201909,7
,1085,201901,30
,1083,201910,30
,1082,201902,20
,1080,201901,12
,1079,202001,28
,1079,202002,4
,1079,202003,17
,1078,201910,26
,1078,202002,15
,1075,201911,16
,1074,202002,2
,1074,201911,9
,1074,201912,14
,1074,202001,25
,1070,201912,7
,1069,201911,5
,1067,202002,16
,1066,201901,1
,1063,201902,3
,1063,202001,1
,1061,202002,1
,1060,201907,6
,1059,202001,19
,1057,201910,29
,1057,201911,1
,1056,202002,8
,1054,201910,17
,1047,201911,2
,1046,201902,9
,1046,201912,31
,1045,201912,25
,1044,201908,7
,1042,201901,26
,1042,201912,24
,1040,202003,18
,1036,201910,31
,1033,202001,18
,1021,201902,2
,977,202003,19
,935,201911,29
,929,201901,20
,918,201911,28
,893,201901,19
,830,201902,12
,785,202003,20
,753,202003,21
,751,202003,22
,632,202003,23
,563,202003,24
,486,202003,25
,466,202003,26
,423,202003,27
,402,202007,23
,401,202003,28
,398,202007,16
,393,202007,17
,392,202007,12
,390,202007,24
,390,202003,29
,386,202007,9
,382,202007,11
,382,202007,19
,381,202007,2
,380,202007,10
,380,202007,30
,376,202007,31
,375,202003,31
,373,202007,8
,373,202007,20
,370,202007,13
,368,202007,26
,367,202007,7
,363,202007,18
,361,202007,15
,361,202007,22
,353,202007,25
,352,202003,30
,350,202007,27
,349,202007,29
,347,202007,3
,344,202007,14
,341,202007,6
,337,202007,21
,331,202007,28
,330,202007,5
,313,202007,4
,301,202007,1
,272,202006,25
,247,202006,18
,245,202006,19
,244,202006,26
,244,202006,28
,241,202006,11
,236,202006,21
,234,202006,29
,229,202004,1
,228,202006,27
,224,202006,22
,221,202006,14
,221,202006,24
,221,202006,30
,220,202006,4
,219,202006,12
,219,202006,23
,215,202004,5
,215,202006,20
,212,202006,17
,209,202006,15
,208,202006,7
,208,202004,2
,207,202006,10
,206,202006,16
,204,202006,5
,201,202006,9
,201,202004,4
,198,202004,3
,196,202004,8
,190,202006,6
,190,202006,8
,190,202004,10
,188,202004,9
,187,202006,13
,186,202004,6
,185,202004,14
,184,202006,3
,177,202006,2
,172,202004,7
,170,202004,12
,164,202004,11
,161,202006,1
,156,202005,21
,155,202005,28
,155,202004,13
,150,202004,15
,150,202004,23
,150,202004,30
,145,202004,29
,144,202005,31
,143,202005,14
,142,202004,28
,141,202004,22
,140,202004,16
,138,202005,13
,137,202005,7
