ETMS_EQPT,T_WHLS_ON,FAA_Weight_Class
B789,15:02,H
B738,15:05,M
B752,15:08,H
CRJ9,15:08,M
CRJ9,15:09,M
E190,15:11,M
A320,15:12,M
A320,15:13,M
B764,15:16,H
B77W,15:17,H
A346,15:19,H
A320,15:21,M
B752,15:23,H
B712,15:24,M
CRJ9,15:25,M
CRJ9,15:26,M
B739,15:28,M
A333,15:28,H
A321,15:31,M
E135,15:32,M
E145,15:34,M
B752,15:36,H
B738,15:37,M
B77W,15:39,H
B763,15:40,H
A320,15:41,M
B752,15:43,H
B739,15:44,M
B738,15:45,M
CRJ9,15:47,M
A332,15:48,H
B738,15:49,M
B738,15:50,M
A333,15:52,H
E55P,15:53,M
E135,15:54,M
E190,15:55,M
B739,15:57,M
CRJ2,15:57,M
E190,15:59,M
E135,16:00,M
A333,16:01,H
B772,16:03,H
CRJ9,16:05,M
A320,16:05,M
B764,16:07,H
B739,16:09,M
A333,16:10,H
A321,16:13,M
A332,16:15,H
A321,16:17,M
A333,16:19,H
B763,16:22,H
A320,16:23,M
B752,16:24,H
B752,16:26,H
A388,16:27,S
A343,16:29,H
B772,16:31,H
A321,16:31,M
B764,16:34,H
B739,16:34,M
B350,16:35,H
CRJ2,16:37,M
E190,16:38,M
B737,16:38,M
A321,16:39,M
A321,16:41,M
A320,16:43,M
B744,16:44,H
A333,16:46,H
B789,16:47,H
B77W,16:49,H
B752,16:52,H
B77W,17:00,H
A320,17:02,M
B77W,17:04,H
B739,17:06,M
A321,17:07,M
B739,17:13,M
A320,17:15,M
A333,17:18,H
A320,17:20,M
B738,17:22,M
A333,17:24,H
A321,17:26,M
B772,17:28,H
B739,17:30,M
B738,17:31,M
A332,17:33,H
A346,17:33,H
E190,17:35,M
B739,17:36,M
B738,17:37,M
BCS1,17:38,M
CRJ9,17:39,M
B744,17:39,H
B738,17:41,M
B738,17:43,M
B752,17:44,H
E75L,17:45,M
MD11,17:46,H
B739,17:48,M
A320,17:50,M
B739,17:51,M
A21N,17:53,M
A333,17:54,H
E190,17:57,M
B752,17:58,H
B738,17:59,M
E190,18:01,M
A320,18:02,M
B763,18:03,H
B739,18:05,M
A319,18:07,M
A320,18:08,M
B739,18:10,M
CRJ9,18:12,M
A320,18:13,M
A321,18:14,M
A320,18:15,M
B772,18:18,H
    ,18:22,H
A321,18:22,M
A321,18:24,M
A321,18:26,M
A333,18:28,H
B752,18:33,H
A321,18:36,M
A321,18:39,M
B748,18:40,H
A321,18:43,M
A346,18:45,H
B763,18:48,H
B77W,18:49,H
A359,18:51,H
CRJ2,18:53,M
B753,18:54,H
A332,18:56,H
B789,18:58,H
A320,19:00,M
A321,19:03,M
CRJ9,19:05,M
A321,19:06,M
B77W,19:07,H
A320,19:09,M
B752,19:11,H
B739,19:12,M
MD11,19:13,H
B739,19:20,M
B739,19:22,M
    ,19:23,H
A320,19:23,M
B748,19:25,H
B744,19:26,H
A388,19:28,S
B752,19:30,H
A321,19:32,M
B752,19:35,H
A339,19:37,H
A320,19:41,M
B772,19:45,H
A319,19:47,M
A321,19:49,M
A321,19:51,M
A320,19:53,M
B764,19:54,H
B77W,19:56,H
B763,19:58,H
A333,20:00,H
B789,20:01,H
B772,20:02,H
B739,20:03,M
A321,20:05,M
B772,20:06,H
E135,20:07,M
B733,20:08,M
A321,20:10,M
B738,20:12,M
A321,20:14,M
A321,20:15,M
B789,20:17,H
A321,20:18,M
A332,20:20,H
A321,20:22,M
E190,20:25,M
A320,20:27,M
B739,20:29,M
B77W,20:31,H
B789,20:33,H
B789,20:40,H
A388,20:42,S
B752,20:47,H
